,text,class
3263,cooked vegetables,"[{'id': 'AG.01.t.07', 'name': 'Cooking'}]"
6039,cookie,"[{'id': 'AG.01.n.13', 'name': 'Cake'}]"
5968,cookie bars,"[{'id': 'AG.01.ak.01', 'name': 'Drinking place'}, {'id': 'AG.01.n.13', 'name': 'Cake'}]"
5767,cookie crumbs,"[{'id': 'AG.01.n.11', 'name': 'Bread'}, {'id': 'AG.01.n.13', 'name': 'Cake'}]"
5956,cookie dough,"[{'id': 'AG.01.n.11', 'name': 'Bread'}, {'id': 'AG.01.n.13', 'name': 'Cake'}]"
5964,cookie dough crust,"[{'id': 'AG.01.n.11', 'name': 'Bread'}, {'id': 'AG.01.n.13', 'name': 'Cake'}, {'id': 'AG.01.n.15', 'name': 'Pastry'}]"
5771,cookie mixture,"[{'id': 'AG.01.n.13', 'name': 'Cake'}]"
3351,cookies,"[{'id': 'AG.01', 'name': 'Food'}]"
10255,cooking,"[{'id': 'AG.01.r', 'name': 'Meal'}, {'id': 'AG.01.t.07', 'name': 'Cooking'}]"
11127,cooking liquid,"[{'id': 'AG.01.r', 'name': 'Meal'}, {'id': 'AG.01.t.07', 'name': 'Cooking'}]"
203,cooking spray,"[{'id': 'AG.01.t.07', 'name': 'Cooking'}, {'id': 'AG.01.f', 'name': 'Fat/oil'}]"
860,cool water,"[{'id': 'AG.01.z', 'name': 'Water'}]"
6863,cool whip,"[{'id': 'AG.01', 'name': 'Food'}]"
5407,cooled applesauce mixture,"[{'id': 'AG.01.h', 'name': 'Fruit and vegetables'}, {'id': 'AG.01.h.01.c', 'name': 'Apple'}, {'id': 'AG.01.l.04', 'name': 'Sauce/dressing'}]"
6248,cooled brownies,"[{'id': 'AG.01', 'name': 'Food'}]"
7641,cooled butter,"[{'id': 'AG.01.e.01', 'name': 'Butter'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}]"
5338,cooled cake,"[{'id': 'AG.01.n.11', 'name': 'Bread'}, {'id': 'AG.01.n.13', 'name': 'Cake'}]"
6275,cooled chocolate mixture,"[{'id': 'AG.01.m', 'name': 'Substances for food preparation'}, {'id': 'AG.01.n.17.a', 'name': 'Sweets'}]"
6815,cooled cookie,"[{'id': 'AG.01.n.13', 'name': 'Cake'}]"
5026,cooled cookies,"[{'id': 'AG.01', 'name': 'Food'}]"
5579,cooled cupcake,"[{'id': 'AG.01', 'name': 'Food'}]"
550,cooled dough,"[{'id': 'AG.01.n.11', 'name': 'Bread'}]"
1839,cooled garlic-oil mixture,"[{'id': 'AG.01.h.02.e', 'name': 'Onion/leek/garlic'}, {'id': 'AG.01.f', 'name': 'Fat/oil'}]"
9192,cooled glogg,"[{'id': 'AG.01.y.01.a', 'name': 'Wine'}]"
7028,cooled milk mixture,"[{'id': 'AG.01.e', 'name': 'Dairy produce'}]"
10730,cooled ribs,"[{'id': 'AG.01', 'name': 'Food'}]"
204,cooled spaghetti,"[{'id': 'AG.01.n', 'name': 'Dishes and prepared food'}]"
5153,cooled white chocolate mixture,"[{'id': 'AG.01.af', 'name': 'Tea manufacture'}, {'id': 'AG.01.m', 'name': 'Substances for food preparation'}, {'id': 'AG.01.n.17.a', 'name': 'Sweets'}]"
9011,cooled yolk mixture,"[{'id': 'AG.01.g', 'name': 'Eggs'}]"
6171,cored apples,"[{'id': 'AG.01.h.01.c', 'name': 'Apple'}]"
11055,cores,"[{'id': 'AG.01.h.01', 'name': 'Fruit/a fruit'}]"
3496,coriander,"[{'id': 'AG.01.l.03', 'name': 'Spice'}]"
121,corn,"[{'id': 'AG.01.i', 'name': 'Corn/cereals/grain'}]"
766,corn chips,"[{'id': 'AG.01.i', 'name': 'Corn/cereals/grain'}]"
7132,corn flakes,"[{'id': 'AG.01.i', 'name': 'Corn/cereals/grain'}]"
1771,corn kernels,"[{'id': 'AG.01.i', 'name': 'Corn/cereals/grain'}]"
6290,corn starch,"[{'id': 'AG.01.i', 'name': 'Corn/cereals/grain'}]"
567,corn syrup,"[{'id': 'AG.01.i', 'name': 'Corn/cereals/grain'}, {'id': 'AG.01.l.02', 'name': 'Sweetener (syrup/honey/chocolate)'}]"
51,corn tortilla,"[{'id': 'AG.01.i', 'name': 'Corn/cereals/grain'}, {'id': 'AG.01.n.11', 'name': 'Bread'}, {'id': 'AG.01.n.12', 'name': 'Pancake/tortilla/oatcake'}]"
3830,corn tortillas,"[{'id': 'AG.01.i', 'name': 'Corn/cereals/grain'}, {'id': 'AG.01.n.11', 'name': 'Bread'}, {'id': 'AG.01.n.12', 'name': 'Pancake/tortilla/oatcake'}]"
1086,corned beef,"[{'id': 'AG.01.d.03', 'name': 'Beef'}, {'id': 'AG.01.t.05', 'name': 'Preparation for table/cooking'}, {'id': 'AG.01.t.06', 'name': 'Preserving/pickling'}]"
7136,cornflakes,"[{'id': 'AG.01', 'name': 'Food'}]"
9295,cornichons,"[{'id': 'AG.01.t.06', 'name': 'Preserving/pickling'}]"
1400,cornmeal,"[{'id': 'AG.01', 'name': 'Food'}]"
1599,cornstarch,"[{'id': 'AG.01', 'name': 'Food'}]"
5333,cornstarch mixture,"[{'id': 'AG.01', 'name': 'Food'}]"
1379,cottage cheese,"[{'id': 'AG.01', 'name': 'Food'}]"
12525,couscous,"[{'id': 'AG.01', 'name': 'Food'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}]"
961,crab,"[{'id': 'AG.01.d.07', 'name': 'Seafood'}]"
300,crab cakes,"[{'id': 'AG.01.d.07', 'name': 'Seafood'}, {'id': 'AG.01.n.13', 'name': 'Cake'}, {'id': 'AG.01.o', 'name': 'Animal food'}]"
774,crab meat,"[{'id': 'AG.01', 'name': 'Food'}, {'id': 'AG.01.d', 'name': 'Animals for food'}, {'id': 'AG.01.d.07', 'name': 'Seafood'}]"
1094,crab mixture,"[{'id': 'AG.01.d.07', 'name': 'Seafood'}]"
284,crabmeat,"[{'id': 'AG.01', 'name': 'Food'}, {'id': 'AG.01.d.07', 'name': 'Seafood'}]"
229,cracker crumbs,"[{'id': 'AG.01', 'name': 'Food'}]"
15,crackers,"[{'id': 'AG.01', 'name': 'Food'}]"
1393,cranberries,"[{'id': 'AG.01.h.01.b', 'name': 'Berry'}]"
8149,cranberry,"[{'id': 'AG.01.h.01.b', 'name': 'Berry'}]"
8160,cranberry juice,"[{'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}, {'id': 'AG.01.h.01.b', 'name': 'Berry'}, {'id': 'AG.01.l.02', 'name': 'Sweetener (syrup/honey/chocolate)'}]"
8213,cranberry mixture,"[{'id': 'AG.01.h.01.b', 'name': 'Berry'}]"
8210,cranberry sauce,"[{'id': 'AG.01.h', 'name': 'Fruit and vegetables'}, {'id': 'AG.01.h.01.b', 'name': 'Berry'}, {'id': 'AG.01.l.04', 'name': 'Sauce/dressing'}]"
2034,cream,"[{'id': 'AG.01.e', 'name': 'Dairy produce'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}]"
6390,cream butter,"[{'id': 'AG.01.e', 'name': 'Dairy produce'}, {'id': 'AG.01.e.01', 'name': 'Butter'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}]"
0,cream cheese,"[{'id': 'AG.01.e', 'name': 'Dairy produce'}, {'id': 'AG.01.e.02', 'name': 'Cheese'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}, {'id': 'AG.01.n.18', 'name': 'Preserve'}]"
2374,cream cheese cubes,"[{'id': 'AG.01.e', 'name': 'Dairy produce'}, {'id': 'AG.01.e.02', 'name': 'Cheese'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}, {'id': 'AG.01.n.18', 'name': 'Preserve'}]"
6836,cream cheese frosting,"[{'id': 'AG.01.e', 'name': 'Dairy produce'}, {'id': 'AG.01.e.02', 'name': 'Cheese'}, {'id': 'AG.01.l.02', 'name': 'Sweetener (syrup/honey/chocolate)'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}, {'id': 'AG.01.n.18', 'name': 'Preserve'}]"
6163,cream cheese icing,"[{'id': 'AG.01.e.02', 'name': 'Cheese'}, {'id': 'AG.01.l.02', 'name': 'Sweetener (syrup/honey/chocolate)'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}, {'id': 'AG.01.n.18', 'name': 'Preserve'}, {'id': 'AG.01.t.05', 'name': 'Preparation for table/cooking'}]"
1281,cream cheese mixture,"[{'id': 'AG.01.e', 'name': 'Dairy produce'}, {'id': 'AG.01.e.02', 'name': 'Cheese'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}, {'id': 'AG.01.n.18', 'name': 'Preserve'}]"
3073,cream cheese substitute,"[{'id': 'AG.01', 'name': 'Food'}, {'id': 'AG.01.e', 'name': 'Dairy produce'}, {'id': 'AG.01.e.02', 'name': 'Cheese'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}, {'id': 'AG.01.n.18', 'name': 'Preserve'}]"
5842,cream custard,"[{'id': 'AG.01.e', 'name': 'Dairy produce'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}, {'id': 'AG.01.n.15', 'name': 'Pastry'}, {'id': 'AG.01.n.16', 'name': 'Egg dishes'}]"
5344,cream filling,"[{'id': 'AG.01.e', 'name': 'Dairy produce'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}]"
5836,cream mixture,"[{'id': 'AG.01.e', 'name': 'Dairy produce'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}]"
8361,cream soda,"[{'id': 'AG.01', 'name': 'Food'}]"
7796,creamed butter,"[{'id': 'AG.01.e.01', 'name': 'Butter'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}, {'id': 'AG.01.t.05', 'name': 'Preparation for table/cooking'}, {'id': 'AG.01.t.07', 'name': 'Cooking'}]"
5654,creamed butter mixture,"[{'id': 'AG.01.af', 'name': 'Tea manufacture'}, {'id': 'AG.01.e.01', 'name': 'Butter'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}, {'id': 'AG.01.t.05', 'name': 'Preparation for table/cooking'}, {'id': 'AG.01.t.07', 'name': 'Cooking'}]"
5055,creamed mixture,"[{'id': 'AG.01', 'name': 'Food'}]"
5915,creamy mixture,"[{'id': 'AG.01', 'name': 'Food'}]"
6024,creamy peanut butter,"[{'id': 'AG.01.e', 'name': 'Dairy produce'}, {'id': 'AG.01.e.01', 'name': 'Butter'}, {'id': 'AG.01.h.01.f', 'name': 'Nut'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}]"
8509,creme de cacao,"[{'id': 'AG.01', 'name': 'Food'}, {'id': 'AG.01.e', 'name': 'Dairy produce'}, {'id': 'AG.01.h', 'name': 'Fruit and vegetables'}, {'id': 'AG.01.m', 'name': 'Substances for food preparation'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}]"
8319,creme de menthe,"[{'id': 'AG.01.e', 'name': 'Dairy produce'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}]"
2482,crepe,"[{'id': 'AG.01', 'name': 'Food'}]"
4708,crepes,"[{'id': 'AG.01', 'name': 'Food'}]"
4582,crescent dough,"[{'id': 'AG.01.n.11', 'name': 'Bread'}]"
1090,crescent roll dough,"[{'id': 'AG.01.n.11', 'name': 'Bread'}]"
2229,crescent rolls,"[{'id': 'AG.01.n.11', 'name': 'Bread'}]"
4083,crisp,"[{'id': 'AG.01.d.05', 'name': 'Pork'}, {'id': 'AG.01.n.01', 'name': 'Food by way of preparation'}, {'id': 'AG.01.n.15', 'name': 'Pastry'}]"
632,crispy rice cereal,"[{'id': 'AG.01.i', 'name': 'Corn/cereals/grain'}]"
2319,croissant,"[{'id': 'AG.01.n.11', 'name': 'Bread'}]"
2317,croissants,"[{'id': 'AG.01', 'name': 'Food'}]"
5174,crostata,"[{'id': 'AG.01.n.11', 'name': 'Bread'}, {'id': 'AG.01.n.15', 'name': 'Pastry'}]"
1303,crostini,"[{'id': 'AG.01.n.11', 'name': 'Bread'}, {'id': 'AG.01', 'name': 'Food'}]"
3026,croutons,"[{'id': 'AG.01', 'name': 'Food'}]"
6309,crumb topping,"[{'id': 'AG.01', 'name': 'Food'}, {'id': 'AG.01.n.11', 'name': 'Bread'}]"
2673,crumbled bacon,"[{'id': 'AG.01.d.05', 'name': 'Pork'}]"
171,crumbles,"[{'id': 'AG.01.n.08', 'name': 'Prepared fruit and dishes'}]"
5224,crumbs,"[{'id': 'AG.01.n.11', 'name': 'Bread'}]"
2108,crunchy granola bars,"[{'id': 'AG.01.ak.01', 'name': 'Drinking place'}, {'id': 'AG.01.n.10', 'name': 'Grain dishes'}]"
7066,crushed candy,"[{'id': 'AG.01.l.02', 'name': 'Sweetener (syrup/honey/chocolate)'}, {'id': 'AG.01.n.17.a', 'name': 'Sweets'}]"
8045,crushed cookies,"[{'id': 'AG.01', 'name': 'Food'}]"
11104,crushed crackers,"[{'id': 'AG.01', 'name': 'Food'}]"
5305,crushed ice,"[{'id': 'AG.01', 'name': 'Food'}]"
7059,crushed peppermints,"[{'id': 'AG.01.n.17.a', 'name': 'Sweets'}]"
7237,crushed pineapple,"[{'id': 'AG.01', 'name': 'Food'}]"
127,crushed red pepper,"[{'id': 'AG.01.l.03', 'name': 'Spice'}, {'id': 'AG.01.w', 'name': 'Setting table'}]"
11697,crushed tomatoes,"[{'id': 'AG.01.h.02.f', 'name': 'Fruits as vegetables'}]"
7354,crushed vanilla wafers,"[{'id': 'AG.01.n.13', 'name': 'Cake'}]"
251,crust,"[{'id': 'AG.01.n.11', 'name': 'Bread'}, {'id': 'AG.01.n.15', 'name': 'Pastry'}]"
6416,crust ingredients,"[{'id': 'AG.01.n.11', 'name': 'Bread'}, {'id': 'AG.01.n.15', 'name': 'Pastry'}]"
6614,crust mixture,"[{'id': 'AG.01.n.11', 'name': 'Bread'}, {'id': 'AG.01.n.15', 'name': 'Pastry'}]"
4848,crusts,"[{'id': 'AG.01.n.11', 'name': 'Bread'}, {'id': 'AG.01.n.15', 'name': 'Pastry'}]"
7811,crystallized sugar cane juice,"[{'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}, {'id': 'AG.01.l.02', 'name': 'Sweetener (syrup/honey/chocolate)'}, {'id': 'AG.01.n.18', 'name': 'Preserve'}]"
10467,cube steaks,"[{'id': 'AG.01.d', 'name': 'Animals for food'}, {'id': 'AG.01.d.07', 'name': 'Seafood'}]"
11256,cubed butter,"[{'id': 'AG.01.e.01', 'name': 'Butter'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}]"
4647,cubed cheddar cheese,"[{'id': 'AG.01.e.02', 'name': 'Cheese'}, {'id': 'AG.01.n.18', 'name': 'Preserve'}]"
9624,cubed chicken breast,"[{'id': 'AG.01.d.06', 'name': 'Fowls'}, {'id': 'AG.01.d.02', 'name': 'Part/joint of animal'}]"
7403,cubed gelatin,"[{'id': 'AG.01', 'name': 'Food'}]"
9685,cubed pork,"[{'id': 'AG.01.d.05', 'name': 'Pork'}]"
312,cucumber,"[{'id': 'AG.01.h.02.f', 'name': 'Fruits as vegetables'}]"
9429,cucumber sauce,"[{'id': 'AG.01.h', 'name': 'Fruit and vegetables'}, {'id': 'AG.01.h.02.f', 'name': 'Fruits as vegetables'}, {'id': 'AG.01.l.04', 'name': 'Sauce/dressing'}]"
834,cucumbers,"[{'id': 'AG.01.h.02.f', 'name': 'Fruits as vegetables'}]"
5665,culinary coconutmilk,"[{'id': 'AG.01.e', 'name': 'Dairy produce'}, {'id': 'AG.01.h.01.f', 'name': 'Nut'}]"
383,cumin,"[{'id': 'AG.01', 'name': 'Food'}]"
5581,cupcake,"[{'id': 'AG.01', 'name': 'Food'}]"
5568,cupcakes,"[{'id': 'AG.01', 'name': 'Food'}]"
3571,curds,"[{'id': 'AG.01.f', 'name': 'Fat/oil'}, {'id': 'AG.01.h.02.d', 'name': 'Cabbage/kale'}, {'id': 'AG.01.m', 'name': 'Substances for food preparation'}]"
1848,curry paste,"[{'id': 'AG.01.l', 'name': 'Additive'}, {'id': 'AG.01.l.03', 'name': 'Spice'}, {'id': 'AG.01.n.01', 'name': 'Food by way of preparation'}, {'id': 'AG.01.n.17', 'name': 'Confections/sweetmeats'}]"
1293,curry powder,"[{'id': 'AG.01.l.03', 'name': 'Spice'}, {'id': 'AG.01.n.01', 'name': 'Food by way of preparation'}]"
5837,custard,"[{'id': 'AG.01.n.15', 'name': 'Pastry'}, {'id': 'AG.01.n.16', 'name': 'Egg dishes'}]"
9213,custard base,"[{'id': 'AG.01.n.15', 'name': 'Pastry'}, {'id': 'AG.01.n.16', 'name': 'Egg dishes'}]"
7744,custard mixture,"[{'id': 'AG.01.n.15', 'name': 'Pastry'}, {'id': 'AG.01.n.16', 'name': 'Egg dishes'}]"
7684,custard powder,"[{'id': 'AG.01', 'name': 'Food'}]"
7739,custard powder mixture,"[{'id': 'AG.01.m', 'name': 'Substances for food preparation'}]"
4028,cutlets,"[{'id': 'AG.01', 'name': 'Food'}]"
8505,daiquiri mixer,"[{'id': 'AG.01.m', 'name': 'Substances for food preparation'}, {'id': 'AG.01.y.01.g', 'name': 'Cocktail'}]"
5969,dark chocolate,"[{'id': 'AG.01.n.17.a', 'name': 'Sweets'}]"
7184,dark rum,"[{'id': 'AG.01.y.01', 'name': 'Intoxicating liquor'}]"
9913,dark soy sauce,"[{'id': 'AG.01.h', 'name': 'Fruit and vegetables'}, {'id': 'AG.01.l.04', 'name': 'Sauce/dressing'}]"
5662,date mixture,"[{'id': 'AG.01.h.01.e', 'name': 'Fruit containing stone'}]"
1832,dates,"[{'id': 'AG.01.h.01.e', 'name': 'Fruit containing stone'}]"
7096,dessert,"[{'id': 'AG.01', 'name': 'Food'}]"
1708,deviled ham,"[{'id': 'AG.01.d.02', 'name': 'Part/joint of animal'}]"
684,diced avocado,"[{'id': 'AG.01.h.01.e', 'name': 'Fruit containing stone'}]"
11025,diced ham,"[{'id': 'AG.01.d.02', 'name': 'Part/joint of animal'}]"
1499,diced jalapeno pepper,"[{'id': 'AG.01.l.03', 'name': 'Spice'}, {'id': 'AG.01.t.05', 'name': 'Preparation for table/cooking'}]"
511,diced potato,"[{'id': 'AG.01.h.02.a', 'name': 'Root vegetable'}]"
1805,diced tomatoes,"[{'id': 'AG.01.h.02.f', 'name': 'Fruits as vegetables'}, {'id': 'AG.01.t.05', 'name': 'Preparation for table/cooking'}]"
1173,dijon mustard,"[{'id': 'AG.01.l.03', 'name': 'Spice'}]"
9386,dijon-style mustard,"[{'id': 'AG.01.l.03', 'name': 'Spice'}]"
195,dill,"[{'id': 'AG.01.h.02.i', 'name': 'Herb'}]"
1390,dill weed,"[{'id': 'AF', 'name': 'Plants'}, {'id': 'AF.03', 'name': 'Valued plants and weeds'}]"
9877,dinner rolls,"[{'id': 'AG.01.n.11', 'name': 'Bread'}, {'id': 'AG.01.r', 'name': 'Meal'}]"
591,dip,"[{'id': 'AG.01.l.04', 'name': 'Sauce/dressing'}]"
3960,dipped bread,"[{'id': 'AG.01.n.11', 'name': 'Bread'}]"
3958,dipped bread slices,"[{'id': 'AG.01.n.11', 'name': 'Bread'}, {'id': 'AG.01.t.08', 'name': 'Equipment for food preparation'}]"
462,dipping sauce,"[{'id': 'AG.01.h', 'name': 'Fruit and vegetables'}, {'id': 'AG.01.l.04', 'name': 'Sauce/dressing'}]"
10237,distilled white vinegar,"[{'id': 'AG.01.ae.01', 'name': 'Wine-making'}, {'id': 'AG.01.l', 'name': 'Additive'}]"
11791,dough,"[{'id': 'AG.01.n.11', 'name': 'Bread'}]"
546,dough,"[{'id': 'AG.01.n.11', 'name': 'Bread'}]"
3350,dough balls,"[{'id': 'AG.01.n.11', 'name': 'Bread'}]"
6186,dough piece,"[{'id': 'AG.01.n.11', 'name': 'Bread'}]"
11806,dough rectangle,"[{'id': 'AG.01.n.11', 'name': 'Bread'}]"
1568,drained chickpeas,"[{'id': 'AG.01', 'name': 'Food'}]"
10991,drained fettuccini,"[{'id': 'AG.01', 'name': 'Food'}]"
1054,drained meat mixture,"[{'id': 'AG.01', 'name': 'Food'}, {'id': 'AG.01.d', 'name': 'Animals for food'}]"
5927,drained morello cherries,"[{'id': 'AG.01.h.01.e', 'name': 'Fruit containing stone'}]"
12499,drained pasta,"[{'id': 'AG.01', 'name': 'Food'}]"
6111,drained peaches,"[{'id': 'AG.01.h.01.e', 'name': 'Fruit containing stone'}]"
724,drained raisins,"[{'id': 'AG.01.h.01', 'name': 'Fruit/a fruit'}, {'id': 'AG.01.h.01.b', 'name': 'Berry'}]"
152,drained sauerkraut,"[{'id': 'AG.01', 'name': 'Food'}]"
858,drained shrimp meat,"[{'id': 'AG.01', 'name': 'Food'}, {'id': 'AG.01.d', 'name': 'Animals for food'}, {'id': 'AG.01.d.07', 'name': 'Seafood'}]"
1641,drained yogurt,"[{'id': 'AG.01', 'name': 'Food'}]"
758,drained zucchini,"[{'id': 'AG.01.h.02.f', 'name': 'Fruits as vegetables'}]"
11564,dressing,"[{'id': 'AG.01.h.02', 'name': 'Vegetables'}, {'id': 'AG.01.n.09', 'name': 'Prepared vegetables and dishes'}]"
1276,dried beef,"[{'id': 'AG.01.d.03', 'name': 'Beef'}]"
5991,dried blueberries,"[{'id': 'AG.01', 'name': 'Food'}]"
3344,dried cherries,"[{'id': 'AG.01.h.01.e', 'name': 'Fruit containing stone'}]"
2796,dried fruit,"[{'id': 'AG.01.h.01', 'name': 'Fruit/a fruit'}, {'id': 'AG.01.h', 'name': 'Fruit and vegetables'}]"
9780,dried herbs,"[{'id': 'AG.01.h.02.i', 'name': 'Herb'}]"
6513,dried tarragon,"[{'id': 'AG.01.h.02.i', 'name': 'Herb'}]"
923,dried thyme,"[{'id': 'AG.01.h.02.i', 'name': 'Herb'}]"
8039,drink,"[{'id': 'AG.01.ak', 'name': 'Drinking'}, {'id': 'AG.01.y', 'name': 'Drink'}, {'id': 'AG.01.y.01', 'name': 'Intoxicating liquor'}]"
9001,drink mix,"[{'id': 'AG.01.ak', 'name': 'Drinking'}, {'id': 'AG.01.m', 'name': 'Substances for food preparation'}, {'id': 'AG.01.y', 'name': 'Drink'}, {'id': 'AG.01.y.01', 'name': 'Intoxicating liquor'}]"
3028,drippings,"[{'id': 'AG.01.f', 'name': 'Fat/oil'}]"
9550,drumstick,"[{'id': 'AG.01.d.06', 'name': 'Fowls'}]"
5823,dry beans,"[{'id': 'AF.20.f', 'name': 'Pulses/plants producing pulses'}]"
5898,dry cake batter,"[{'id': 'AG.01.m', 'name': 'Substances for food preparation'}, {'id': 'AG.01.n.13', 'name': 'Cake'}]"
5949,dry cake mix,"[{'id': 'AG.01.m', 'name': 'Substances for food preparation'}, {'id': 'AG.01.n.13', 'name': 'Cake'}]"
1275,dry italian-style salad dressing mix,"[{'id': 'AG.01.h.02', 'name': 'Vegetables'}, {'id': 'AG.01.m', 'name': 'Substances for food preparation'}, {'id': 'AG.01.n.09', 'name': 'Prepared vegetables and dishes'}]"
1712,dry mustard,"[{'id': 'AG.01.l.03', 'name': 'Spice'}]"
639,dry mustard powder,"[{'id': 'AG.01.ak.02', 'name': 'Thirst'}, {'id': 'AG.01.l.03', 'name': 'Spice'}]"
1765,dry onion soup mix,"[{'id': 'AG.01.h.02.e', 'name': 'Onion/leek/garlic'}, {'id': 'AG.01.m', 'name': 'Substances for food preparation'}, {'id': 'AG.01.n.02', 'name': 'Soup/pottage'}]"
6748,dry pudding mix,"[{'id': 'AG.01.m', 'name': 'Substances for food preparation'}, {'id': 'AG.01.n.03', 'name': 'Puddings'}]"
70,dry ranch salad dressing mix,"[{'id': 'AG.01.h.02', 'name': 'Vegetables'}, {'id': 'AG.01.m', 'name': 'Substances for food preparation'}, {'id': 'AG.01.n.09', 'name': 'Prepared vegetables and dishes'}]"
9311,dry vermouth,"[{'id': 'AG.01.y.01.a', 'name': 'Wine'}]"
8312,dry white wine,"[{'id': 'AG.01.y.01.a', 'name': 'Wine'}]"
2236,dumplings,"[{'id': 'AG.01.n.03', 'name': 'Puddings'}]"
163,egg,"[{'id': 'AG.01.g', 'name': 'Eggs'}]"
1019,egg half,"[{'id': 'AG.01.g', 'name': 'Eggs'}]"
166,egg mixture,"[{'id': 'AG.01.af', 'name': 'Tea manufacture'}, {'id': 'AG.01.g', 'name': 'Eggs'}]"
2981,egg substitute,"[{'id': 'AG.01', 'name': 'Food'}, {'id': 'AG.01.g', 'name': 'Eggs'}]"
2427,egg substitutes,"[{'id': 'AG.01.g', 'name': 'Eggs'}]"
1208,egg white,"[{'id': 'AG.01.g', 'name': 'Eggs'}]"
5080,egg white batter,"[{'id': 'AG.01.g', 'name': 'Eggs'}, {'id': 'AG.01.m', 'name': 'Substances for food preparation'}]"
4334,egg white glaze,"[{'id': 'AG.01.g', 'name': 'Eggs'}]"
4240,egg white mixture,"[{'id': 'AG.01.g', 'name': 'Eggs'}]"
111,egg whites,"[{'id': 'AG.01.g', 'name': 'Eggs'}, {'id': 'AG.01.k', 'name': 'Flour'}]"
2967,egg yolk,"[{'id': 'AG.01.g', 'name': 'Eggs'}]"
5081,egg yolk batter,"[{'id': 'AG.01.g', 'name': 'Eggs'}, {'id': 'AG.01.m', 'name': 'Substances for food preparation'}]"
6505,egg yolk mixture,"[{'id': 'AG.01.g', 'name': 'Eggs'}]"
1205,egg yolks,"[{'id': 'AG.01.g', 'name': 'Eggs'}]"
5733,eggnog,"[{'id': 'AG.01.g', 'name': 'Eggs'}, {'id': 'AG.01.y.01', 'name': 'Intoxicating liquor'}, {'id': 'AG.01.y.01.b', 'name': 'Ale/beer'}]"
1429,eggplant,"[{'id': 'AG.01', 'name': 'Food'}]"
1445,eggplant puree,"[{'id': 'AG.01', 'name': 'Food'}]"
1515,eggplant slices,"[{'id': 'AG.01', 'name': 'Food'}]"
110,eggs,"[{'id': 'AG.01.g', 'name': 'Eggs'}]"
4998,eggs,"[{'id': 'AG.01.g', 'name': 'Eggs'}]"
10432,enchilada sauce,"[{'id': 'AG.01.h', 'name': 'Fruit and vegetables'}, {'id': 'AG.01.n.12', 'name': 'Pancake/tortilla/oatcake'}, {'id': 'AG.01.l.04', 'name': 'Sauce/dressing'}]"
11325,enchiladas,"[{'id': 'AG.01', 'name': 'Food'}]"
9307,energy drink,"[{'id': 'AG.01.ak', 'name': 'Drinking'}, {'id': 'AG.01.y', 'name': 'Drink'}, {'id': 'AG.01.y.01', 'name': 'Intoxicating liquor'}]"
5759,entire cake,"[{'id': 'AG.01.n.13', 'name': 'Cake'}]"
4678,entire quiche,"[{'id': 'AG.01', 'name': 'Food'}]"
9296,espresso coffee,"[{'id': 'AG.01.ad', 'name': 'Coffee'}, {'id': 'AG.01.ag', 'name': 'Coffee manufacture'}]"
7187,espresso powder,"[{'id': 'AG.01.ad', 'name': 'Coffee'}]"
430,evaporated milk,"[{'id': 'AG.01.e', 'name': 'Dairy produce'}]"
2481,excess batter,"[{'id': 'AG.01.m', 'name': 'Substances for food preparation'}]"
11800,excess fat,"[{'id': 'AG.01.f', 'name': 'Fat/oil'}]"
1070,excess flour,"[{'id': 'AG.01.j', 'name': 'Meal'}, {'id': 'AG.01.k', 'name': 'Flour'}]"
803,excess grease,"[{'id': 'AG.01', 'name': 'Food'}]"
1249,excess liquid,"[{'id': 'AG.01', 'name': 'Food'}]"
32,excess oil,"[{'id': 'AG.01.f', 'name': 'Fat/oil'}]"
2713,excess water,"[{'id': 'AG.01.z', 'name': 'Water'}]"
9559,exposed breast meat,"[{'id': 'AG.01', 'name': 'Food'}, {'id': 'AG.01.d', 'name': 'Animals for food'}, {'id': 'AG.01.d.02', 'name': 'Part/joint of animal'}]"
930,extra egg white mixture,"[{'id': 'AG.01.g', 'name': 'Eggs'}]"
